Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Mahindra Thar 2020 Waterproof Canvas Seat Cover",,,"Mahindra Thar 2020 Waterproof Canvas Seat Cover",,0,To verify,
"Mahindra Thar Automatic Side Steps",,,"Mahindra Thar Automatic Side Steps",,49700,To verify,
"Mahindra Thar Automatic Side Steps",,,"Mahindra Thar Automatic Side Steps",,49700,To verify,
"Mahindra Thar Stepney Cover with Linex Coating and Metal Handle",,,"Mahindra Thar Stepney Cover with Linex Coating and Metal Handle",,8800,To verify,
"Mahindra Thar Stepney Cover with Linex Coating and Metal Handle",,,"Mahindra Thar Stepney Cover with Linex Coating and Metal Handle",,8800,To verify,
"OUTLANDER Matrix Model Roof Rack with LED Lights",,,"OUTLANDER Matrix Model Roof Rack with LED Lights",,68500,To verify,
"OUTLANDER Matrix Model Roof Rack with LED Lights",,,"OUTLANDER Matrix Model Roof Rack with LED Lights",,68500,To verify,
"Original Carbon Fiber Gear Knob Cover for Toyota Hilux & Fortuner",,,"Original Carbon Fiber Gear Knob Cover for Toyota Hilux & Fortuner",,0,To verify,
"Original Carbon Fiber Gear Knob Cover for Toyota Hilux & Fortuner",,,"Original Carbon Fiber Gear Knob Cover for Toyota Hilux & Fortuner",,0,To verify,
"Overland Manual Roller Shutter For Toyota Hilux",,,"Overland Manual Roller Shutter For Toyota Hilux",,95000,To verify,
"Overland Manual Roller Shutter For Toyota Hilux",,,"Overland Manual Roller Shutter For Toyota Hilux",,95000,To verify,
"Pharaoh 3D Floor Mats",,,"Pharaoh 3D Floor Mats",,16490,To verify,
"Pharaoh 3D Floor Mats",,,"Pharaoh 3D Floor Mats",,16490,To verify,
"ProMan Hilux Roll Bar",,,"ProMan Hilux Roll Bar",,0,To verify,
"ProMan Hilux Roll Bar",,,"ProMan Hilux Roll Bar",,0,To verify,
"Proman Grab Handle for Mahindra Thar 2020+",,,"Proman Grab Handle for Mahindra Thar 2020+",,0,To verify,
"Proman Grab Handle for Mahindra Thar 2020+",,,"Proman Grab Handle for Mahindra Thar 2020+",,0,To verify,
"Rear Ladder for Suzuki Jimny",,,"Rear Ladder for Suzuki Jimny",,4000,To verify,
"Rear Ladder for Suzuki Jimny",,,"Rear Ladder for Suzuki Jimny",,4000,To verify,
"Revolution tail gate lid/cover for Hilux",,,"Revolution tail gate lid/cover for Hilux",,12100,To verify,
"Revolution tail gate lid/cover for Hilux",,,"Revolution tail gate lid/cover for Hilux",,12100,To verify,
"Roof Rail for Isuzu",,,"Roof Rail for Isuzu",,7500,To verify,
"Roof Rail for Isuzu",,,"Roof Rail for Isuzu",,7500,To verify,
"Roof cross bar for small cars",,,"Roof cross bar for small cars",,4500,To verify,
"Roof cross bar for small cars",,,"Roof cross bar for small cars",,4500,To verify,
"SOFT Cover for Isuzu",,,"SOFT Cover for Isuzu",,17000,To verify,
"SOFT Cover for Isuzu",,,"SOFT Cover for Isuzu",,17000,To verify,
"Stepney Cover for Mahindra Thar ROXX",,,"Stepney Cover for Mahindra Thar ROXX",,0,To verify,
"Stepney Cover for Mahindra Thar ROXX",,,"Stepney Cover for Mahindra Thar ROXX",,0,To verify,
"Suzuki Jimny ABS Side Steps",,,"Suzuki Jimny ABS Side Steps",,13499,To verify,
"Suzuki Jimny ABS Side Steps",,,"Suzuki Jimny ABS Side Steps",,13499,To verify,
"Toyota Hilux ABS Roll Bar",,,"Toyota Hilux ABS Roll Bar",,29700,To verify,
"Toyota Hilux ABS Roll Bar",,,"Toyota Hilux ABS Roll Bar",,29700,To verify,
"Toyota Hilux Assault Sports Bar",,,"Toyota Hilux Assault Sports Bar",,0,To verify,
"Toyota Hilux Assault Sports Bar",,,"Toyota Hilux Assault Sports Bar",,0,To verify,
"Toyota Hilux Option X Bed Rack System",,,"Toyota Hilux Option X Bed Rack System",,166400,To verify,
"Toyota Hilux Option X Bed Rack System",,,"Toyota Hilux Option X Bed Rack System",,166400,To verify,
"Toyota Hilux Option X Sports Roll Bar",,,"Toyota Hilux Option X Sports Roll Bar",,135680,To verify,
"Toyota Hilux Option X Sports Roll Bar",,,"Toyota Hilux Option X Sports Roll Bar",,135680,To verify,
"Toyota Hilux Stick-On Roof Rails",,,"Toyota Hilux Stick-On Roof Rails",,3850,To verify,
"Toyota Hilux Stick-On Roof Rails",,,"Toyota Hilux Stick-On Roof Rails",,3850,To verify,
"Toyota Premium Keycase For Hilux, Fortuner, & Innova Hycross",,,"Toyota Premium Keycase For Hilux, Fortuner, & Innova Hycross",,3840,To verify,
"Toyota Premium Keycase For Hilux, Fortuner, & Innova Hycross",,,"Toyota Premium Keycase For Hilux, Fortuner, & Innova Hycross",,3840,To verify,
"Tri-Fold Cover for Toyota Hilux – Durable, Weather-Resistant Bed Cover",,,"Tri-Fold Cover for Toyota Hilux – Durable, Weather-Resistant Bed Cover",HILUX-TRI-FLD-001,47000,To verify,
"Trifold Deck Cover for Isuzu",,,"Trifold Deck Cover for Isuzu",,40000,To verify,
"Trifold Deck Cover for Isuzu",,,"Trifold Deck Cover for Isuzu",,40000,To verify,
"Volkswagen Polo Batman Style Mirror Cover",,,"Volkswagen Polo Batman Style Mirror Cover",,2990,To verify,
"Volkswagen Polo Batman Style Mirror Cover",,,"Volkswagen Polo Batman Style Mirror Cover",,2990,To verify,
"armado Roll Bar for Toyota Hilux",,,"armado Roll Bar for Toyota Hilux",,58500,To verify,
"armado Roll Bar for Toyota Hilux",,,"armado Roll Bar for Toyota Hilux",,58500,To verify,
"automatic Electric Roller Shutter for Toyota Hilux",,,"automatic Electric Roller Shutter for Toyota Hilux",,92000,To verify,
"automatic Electric Roller Shutter for Toyota Hilux",,,"automatic Electric Roller Shutter for Toyota Hilux",,92000,To verify,
"floor mat for Hilux",,,"floor mat for Hilux",,7999,To verify,
"floor mat for Hilux",,,"floor mat for Hilux",,7999,To verify,
"heavy SUV cross Bar",,,"heavy SUV cross Bar",,5100,To verify,
"heavy SUV cross Bar",,,"heavy SUV cross Bar",,5100,To verify,
