Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Profender King Series Suspension-Ford Endeavour/ Toyota Hilux/ fortuner",,,"Profender King Series Suspension-Ford Endeavour/ Toyota Hilux/ fortuner",,0,To verify,
"Profender KingSeries Suspension-ToyotaHilux",,,"Profender KingSeries Suspension-ToyotaHilux",,235000,To verify,
"Profender KingSeries Suspension-ToyotaHilux",,,"Profender KingSeries Suspension-ToyotaHilux",,235000,To verify,
"Profender Nitrogas Suspension Shock Absorber for Isuzu D-Max",,,"Profender Nitrogas Suspension Shock Absorber for Isuzu D-Max",,32000,To verify,
"Profender Nitrogas Suspension Shock Absorber for Isuzu D-Max",,,"Profender Nitrogas Suspension Shock Absorber for Isuzu D-Max",,32000,To verify,
"Profender Nitrogas shock absorbers for Toyota Fortuner",,,"Profender Nitrogas shock absorbers for Toyota Fortuner",,37500,To verify,
"Profender Nitrogas shock absorbers for Toyota Fortuner",,,"Profender Nitrogas shock absorbers for Toyota Fortuner",,37500,To verify,
"Profender Queen Series Suspension for Ford Endeavour",,,"Profender Queen Series Suspension for Ford Endeavour",,190000,To verify,
"Profender Queen Series Suspension for Ford Endeavour",,,"Profender Queen Series Suspension for Ford Endeavour",,190000,To verify,
"Profender Queen Series Suspension for Toyota Fortuner",,,"Profender Queen Series Suspension for Toyota Fortuner",,190000,To verify,
"Profender Queen Series Suspension for Toyota Fortuner",,,"Profender Queen Series Suspension for Toyota Fortuner",,190000,To verify,
"Profender Shock Absorber Full Kit with 2"" Lift Kit For Maruti Gypsy",,,"Profender Shock Absorber Full Kit with 2"" Lift Kit For Maruti Gypsy",,71000,To verify,
"Profender Shock Absorber Full Kit with 2"" Lift Kit For Maruti Gypsy",,,"Profender Shock Absorber Full Kit with 2"" Lift Kit For Maruti Gypsy",,71000,To verify,
"Profender Suspension Kit For Mahindra Thar",,,"Profender Suspension Kit For Mahindra Thar",,53076,To verify,
"Profender Suspension Kit For Mahindra Thar",,,"Profender Suspension Kit For Mahindra Thar",,53076,To verify,
"Profender Suspension for Mahindra Thar CRDe (Set of 4)",,,"Profender Suspension for Mahindra Thar CRDe (Set of 4)",,36000,To verify,
"Profender Suspension for Mahindra Thar CRDe (Set of 4)",,,"Profender Suspension for Mahindra Thar CRDe (Set of 4)",,36000,To verify,
"Proman 2 Inch Lift Kit For Mahindra Thar",,,"Proman 2 Inch Lift Kit For Mahindra Thar",,19990,To verify,
"Proman 2 Inch Lift Kit For Mahindra Thar",,,"Proman 2 Inch Lift Kit For Mahindra Thar",,19990,To verify,
"Rear Balance Arms for Toyota Fortuner",,,"Rear Balance Arms for Toyota Fortuner",,32280,To verify,
"Rear Balance Arms for Toyota Fortuner",,,"Rear Balance Arms for Toyota Fortuner",,32280,To verify,
"TJM XGS ROAMER Series 2-inch Lift Comfort Suspension for Toyota Hilux",,,"TJM XGS ROAMER Series 2-inch Lift Comfort Suspension for Toyota Hilux",,237500,To verify,
"TJM XGS ROAMER Series 2-inch Lift Comfort Suspension for Toyota Hilux",,,"TJM XGS ROAMER Series 2-inch Lift Comfort Suspension for Toyota Hilux",,237500,To verify,
"TJM XGS ROAMER Series 2-inch Lift Kit for Ford Endeavour",,,"TJM XGS ROAMER Series 2-inch Lift Kit for Ford Endeavour",,140000,To verify,
"TJM XGS ROAMER Series 2-inch Lift Kit for Ford Endeavour",,,"TJM XGS ROAMER Series 2-inch Lift Kit for Ford Endeavour",,140000,To verify,
"Tough Dog 40mm Lift Kit For Mahindra Scorpio 2022+",,,"Tough Dog 40mm Lift Kit For Mahindra Scorpio 2022+",,145000,To verify,
"Tough Dog 40mm Lift Kit For Mahindra Scorpio 2022+",,,"Tough Dog 40mm Lift Kit For Mahindra Scorpio 2022+",,145000,To verify,
"Tough Dog Suspension For Mahindra Thar",,,"Tough Dog Suspension For Mahindra Thar",,110500,To verify,
"Tough Dog Suspension For Mahindra Thar",,,"Tough Dog Suspension For Mahindra Thar",,110500,To verify,
"Unicorn 7 Inch Lift kit for Toyota Hilux",,,"Unicorn 7 Inch Lift kit for Toyota Hilux",,320000,To verify,
"Unicorn 7 Inch Lift kit for Toyota Hilux",,,"Unicorn 7 Inch Lift kit for Toyota Hilux",,320000,To verify,
"iron man Foam Cell Pro Suspension Kit",,,"iron man Foam Cell Pro Suspension Kit",,194500,To verify,
"iron man Foam Cell Pro Suspension Kit",,,"iron man Foam Cell Pro Suspension Kit",,194500,To verify,
"ironman TOYOTA FORTUNER 2015+ Medium with Foam Cell",,,"ironman TOYOTA FORTUNER 2015+ Medium with Foam Cell",,149500,To verify,
"ironman TOYOTA FORTUNER 2015+ Medium with Foam Cell",,,"ironman TOYOTA FORTUNER 2015+ Medium with Foam Cell",,149500,To verify,
"profender Thar 3 door 2 inch lift kit",,,"profender Thar 3 door 2 inch lift kit",,75000,To verify,
"profender Thar 3 door 2 inch lift kit",,,"profender Thar 3 door 2 inch lift kit",,75000,To verify,
